,Anchor,Concept1,Concept2,Category,prompt,gpt_response,gpt_choice
2349,Snake,Salamander,Tortoise,reptile,"Answer using only only word - ""Salamander"" or ""Tortoise"" and not ""Snake"".Which is more similar in meaning to ""Snake""?","turtle""",fill manually
2350,Vacuum,Grinding disk,Tortoise,tool,"Answer using only only word - ""Grinding disk"" or ""Tortoise"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?",Tortoise,Tortoise
2351,Spanner,Grinding disk,Salamander,tool,"Answer using only only word - ""Grinding disk"" or ""Salamander"" and not ""Spanner"".Which is more similar in meaning to ""Spanner""?",Salamander,Salamander
2352,Vacuum,Chisel,Tortoise,tool,"Answer using only only word - ""Chisel"" or ""Tortoise"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?","Vac"" is a slang word for a person who is a",fill manually
2353,Spanner,Cobra,Dinosaur,tool,"Answer using only only word - ""Cobra"" or ""Dinosaur"" and not ""Spanner"".Which is more similar in meaning to ""Spanner""?",Cobra,Cobra
2354,Toad,Axe,Tortoise,reptile,"Answer using only only word - ""Axe"" or ""Tortoise"" and not ""Toad"".Which is more similar in meaning to ""Toad""?",Axe,Axe
2355,Axe,Nail,Shovel,tool,"Answer using only only word - ""Nail"" or ""Shovel"" and not ""Axe"".Which is more similar in meaning to ""Axe""?",Shovel,Shovel
2356,Dinosaur,Boa python,Snake,reptile,"Answer using only only word - ""Boa python"" or ""Snake"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?",Boa python,Boa python
2357,Crocodile,Oil can,Saw,reptile,"Answer using only only word - ""Oil can"" or ""Saw"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?",Oil can,Oil can
2358,Boa python,Knife,Oil can,reptile,"Answer using only only word - ""Knife"" or ""Oil can"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?",knife,fill manually
2359,Snake,Blindworm,Chameleon,reptile,"Answer using only only word - ""Blindworm"" or ""Chameleon"" and not ""Snake"".Which is more similar in meaning to ""Snake""?","ake""",fill manually
2360,Tortoise,Salamander,Screwdriver,reptile,"Answer using only only word - ""Salamander"" or ""Screwdriver"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?",salamander,fill manually
2361,Snake,Blindworm,Gecko,reptile,"Answer using only only word - ""Blindworm"" or ""Gecko"" and not ""Snake"".Which is more similar in meaning to ""Snake""?","""",fill manually
2362,Oil can,Cobra,Dinosaur,tool,"Answer using only only word - ""Cobra"" or ""Dinosaur"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?",Cobra,Cobra
2363,Lizard,Cobra,Toad,reptile,"Answer using only only word - ""Cobra"" or ""Toad"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","Toad""",Toad
2364,Alligator,Lawn Mower,Snake,reptile,"Answer using only only word - ""Lawn Mower"" or ""Snake"" and not ""Alligator"".Which is more similar in meaning to ""Alligator""?","Alligator""",Fill manually
2365,Boa python,Chisel,Gecko,reptile,"Answer using only only word - ""Chisel"" or ""Gecko"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?",lizard,fill manually
2366,Spanner,Caiman,Shovel,tool,"Answer using only only word - ""Caiman"" or ""Shovel"" and not ""Spanner"".Which is more similar in meaning to ""Spanner""?",Shovel,Shovel
2367,Grinding disk,Crocodile,Toad,tool,"Answer using only only word - ""Crocodile"" or ""Toad"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?","G""",fill manually
2368,Grinding disk,Knife,Oil can,tool,"Answer using only only word - ""Knife"" or ""Oil can"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?",Knife,Knife
2369,Toad,Chisel,Lizard,reptile,"Answer using only only word - ""Chisel"" or ""Lizard"" and not ""Toad"".Which is more similar in meaning to ""Toad""?",Lizard,Lizard
2370,Snake,Saw,Spanner,reptile,"Answer using only only word - ""Saw"" or ""Spanner"" and not ""Snake"".Which is more similar in meaning to ""Snake""?","Saw""",Saw
2371,Axe,Anvil,Chameleon,tool,"Answer using only only word - ""Anvil"" or ""Chameleon"" and not ""Axe"".Which is more similar in meaning to ""Axe""?","Anvil""",Anvil
2372,Tortoise,Chisel,Cobra,reptile,"Answer using only only word - ""Chisel"" or ""Cobra"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?","Tortoise""",Fill manually
2373,Salamander,Caiman,Nail,reptile,"Answer using only only word - ""Caiman"" or ""Nail"" and not ""Salamander"".Which is more similar in meaning to ""Salamander""?","Sal"" is a word that means salt",fill manually
2374,Hammer,Dinosaur,Lawn Mower,tool,"Answer using only only word - ""Dinosaur"" or ""Lawn Mower"" and not ""Hammer"".Which is more similar in meaning to ""Hammer""?","Dinosaur""",Dinosaur
2375,Lawn Mower,Lizard,Shovel,tool,"Answer using only only word - ""Lizard"" or ""Shovel"" and not ""Lawn Mower"".Which is more similar in meaning to ""Lawn Mower""?","La""",fill manually
2376,Oil can,Hammer,Tortoise,tool,"Answer using only only word - ""Hammer"" or ""Tortoise"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?","Tortoise""",Tortoise
2377,Cobra,Shovel,Snake,reptile,"Answer using only only word - ""Shovel"" or ""Snake"" and not ""Cobra"".Which is more similar in meaning to ""Cobra""?",Snake,Snake
2378,Turtle,Caiman,Grinding disk,reptile,"Answer using only only word - ""Caiman"" or ""Grinding disk"" and not ""Turtle"".Which is more similar in meaning to ""Turtle""?","Caiman""",Caiman
2379,Oil can,Gecko,Hammer,tool,"Answer using only only word - ""Gecko"" or ""Hammer"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?",Hammer,Hammer
2380,Saw,Alligator,Cobra,tool,"Answer using only only word - ""Alligator"" or ""Cobra"" and not ""Saw"".Which is more similar in meaning to ""Saw""?",Alligator,Alligator
2381,Turtle,Axe,Dinosaur,reptile,"Answer using only only word - ""Axe"" or ""Dinosaur"" and not ""Turtle"".Which is more similar in meaning to ""Turtle""?",Axe,Axe
2382,Blindworm,Hammer,Vacuum,reptile,"Answer using only only word - ""Hammer"" or ""Vacuum"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?",Hammer,Hammer
2383,Caiman,Gecko,Nail,reptile,"Answer using only only word - ""Gecko"" or ""Nail"" and not ""Caiman"".Which is more similar in meaning to ""Caiman""?","Nail""",Nail
2384,Spanner,Lizard,Nail,tool,"Answer using only only word - ""Lizard"" or ""Nail"" and not ""Spanner"".Which is more similar in meaning to ""Spanner""?",Nail,Nail
2385,Anvil,Nail,Saw,tool,"Answer using only only word - ""Nail"" or ""Saw"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?",Nail,Nail
2386,Vacuum,Axe,Hammer,tool,"Answer using only only word - ""Axe"" or ""Hammer"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?",Hammer,Hammer
2387,Toad,Grinding disk,Tortoise,reptile,"Answer using only only word - ""Grinding disk"" or ""Tortoise"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","grind""",fill manually
2388,Axe,Alligator,Snake,tool,"Answer using only only word - ""Alligator"" or ""Snake"" and not ""Axe"".Which is more similar in meaning to ""Axe""?","Alligator""",Alligator
2389,Knife,Lawn Mower,Saw,tool,"Answer using only only word - ""Lawn Mower"" or ""Saw"" and not ""Knife"".Which is more similar in meaning to ""Knife""?","Saw""",Saw
2390,Tortoise,Knife,Toad,reptile,"Answer using only only word - ""Knife"" or ""Toad"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?","Toad""",Toad
2391,Screwdriver,Boa python,Hammer,tool,"Answer using only only word - ""Boa python"" or ""Hammer"" and not ""Screwdriver"".Which is more similar in meaning to ""Screwdriver""?",a hammer is a tool,fill manually
2392,Paint brush,Gecko,Saw,tool,"Answer using only only word - ""Gecko"" or ""Saw"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?","Pa""",fill manually
2393,Vacuum,Oil can,Tortoise,tool,"Answer using only only word - ""Oil can"" or ""Tortoise"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?",Oil can,Oil can
2394,Screwdriver,Hammer,Nail,tool,"Answer using only only word - ""Hammer"" or ""Nail"" and not ""Screwdriver"".Which is more similar in meaning to ""Screwdriver""?","Hammer""",Hammer
2395,Blindworm,Axe,Chisel,reptile,"Answer using only only word - ""Axe"" or ""Chisel"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?","Axe""",Axe
2396,Lizard,Caiman,Hammer,reptile,"Answer using only only word - ""Caiman"" or ""Hammer"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","Hammer""",Hammer
2397,Caiman,Saw,Shovel,reptile,"Answer using only only word - ""Saw"" or ""Shovel"" and not ""Caiman"".Which is more similar in meaning to ""Caiman""?","Shovel""",Shovel
2398,Chameleon,Blindworm,Crocodile,reptile,"Answer using only only word - ""Blindworm"" or ""Crocodile"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?","Crocodile""",Crocodile
2399,Grinding disk,Caiman,Chisel,tool,"Answer using only only word - ""Caiman"" or ""Chisel"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?","Chisel""",Chisel
2400,Lizard,Chisel,Shovel,reptile,"Answer using only only word - ""Chisel"" or ""Shovel"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?",chisel,fill manually
2401,Vacuum,Boa python,Crocodile,tool,"Answer using only only word - ""Boa python"" or ""Crocodile"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?",the way they look,fill manually
2402,Axe,Lizard,Vacuum,tool,"Answer using only only word - ""Lizard"" or ""Vacuum"" and not ""Axe"".Which is more similar in meaning to ""Axe""?","Vacuum""",Vacuum
2403,Paint brush,Nail,Toad,tool,"Answer using only only word - ""Nail"" or ""Toad"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?",Toad,Toad
2404,Tortoise,Grinding disk,Vacuum,reptile,"Answer using only only word - ""Grinding disk"" or ""Vacuum"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?","Grinding disk""",Grinding disk
2405,Oil can,Lizard,Paint brush,tool,"Answer using only only word - ""Lizard"" or ""Paint brush"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?","O""",fill manually
2406,Snake,Chameleon,Spanner,reptile,"Answer using only only word - ""Chameleon"" or ""Spanner"" and not ""Snake"".Which is more similar in meaning to ""Snake""?","ke""",fill manually
2407,Toad,Lawn Mower,Lizard,reptile,"Answer using only only word - ""Lawn Mower"" or ""Lizard"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","Mow""",fill manually
2408,Chameleon,Knife,Spanner,reptile,"Answer using only only word - ""Knife"" or ""Spanner"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?","Spanner""",Spanner
2409,Salamander,Axe,Vacuum,reptile,"Answer using only only word - ""Axe"" or ""Vacuum"" and not ""Salamander"".Which is more similar in meaning to ""Salamander""?",Axe,Axe
2410,Vacuum,Dinosaur,Snake,tool,"Answer using only only word - ""Dinosaur"" or ""Snake"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?",Dinosaur,Dinosaur
2411,Nail,Boa python,Knife,tool,"Answer using only only word - ""Boa python"" or ""Knife"" and not ""Nail"".Which is more similar in meaning to ""Nail""?",Boa python,Boa python
2412,Snake,Gecko,Paint brush,reptile,"Answer using only only word - ""Gecko"" or ""Paint brush"" and not ""Snake"".Which is more similar in meaning to ""Snake""?","Paint brush""",Paint brush
2413,Salamander,Axe,Nail,reptile,"Answer using only only word - ""Axe"" or ""Nail"" and not ""Salamander"".Which is more similar in meaning to ""Salamander""?","Axe""",Axe
2414,Crocodile,Axe,Shovel,reptile,"Answer using only only word - ""Axe"" or ""Shovel"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","Axe""",Axe
2415,Tortoise,Crocodile,Dinosaur,reptile,"Answer using only only word - ""Crocodile"" or ""Dinosaur"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?",Crocodiles and dinosaurs are both reptiles.,Crocodile
2416,Oil can,Hammer,Saw,tool,"Answer using only only word - ""Hammer"" or ""Saw"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?",Hammer,Hammer
2417,Gecko,Anvil,Saw,reptile,"Answer using only only word - ""Anvil"" or ""Saw"" and not ""Gecko"".Which is more similar in meaning to ""Gecko""?",Anvil,Anvil
2418,Chisel,Spanner,Tortoise,tool,"Answer using only only word - ""Spanner"" or ""Tortoise"" and not ""Chisel"".Which is more similar in meaning to ""Chisel""?","Tortoise""",Tortoise
2419,Dinosaur,Chisel,Crocodile,reptile,"Answer using only only word - ""Chisel"" or ""Crocodile"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?",a crocodile,fill manually
2420,Knife,Crocodile,Salamander,tool,"Answer using only only word - ""Crocodile"" or ""Salamander"" and not ""Knife"".Which is more similar in meaning to ""Knife""?","Crocodile""",Crocodile
2421,Screwdriver,Alligator,Gecko,tool,"Answer using only only word - ""Alligator"" or ""Gecko"" and not ""Screwdriver"".Which is more similar in meaning to ""Screwdriver""?","Screw""",fill manually
2422,Crocodile,Axe,Chameleon,reptile,"Answer using only only word - ""Axe"" or ""Chameleon"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?",Axe,Axe
2423,Knife,Nail,Shovel,tool,"Answer using only only word - ""Nail"" or ""Shovel"" and not ""Knife"".Which is more similar in meaning to ""Knife""?","Nail""",Nail
2424,Saw,Crocodile,Snake,tool,"Answer using only only word - ""Crocodile"" or ""Snake"" and not ""Saw"".Which is more similar in meaning to ""Saw""?","Snake""",Snake
2425,Blindworm,Chameleon,Snake,reptile,"Answer using only only word - ""Chameleon"" or ""Snake"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?","Chameleon""",Chameleon
2426,Caiman,Blindworm,Snake,reptile,"Answer using only only word - ""Blindworm"" or ""Snake"" and not ""Caiman"".Which is more similar in meaning to ""Caiman""?","Caiman""",Fill manually
2427,Toad,Crocodile,Knife,reptile,"Answer using only only word - ""Crocodile"" or ""Knife"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","Crocodile a blade is a dangerous thing""",Crocodile
2428,Paint brush,Shovel,Toad,tool,"Answer using only only word - ""Shovel"" or ""Toad"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?","Pa""",fill manually
2429,Anvil,Alligator,Dinosaur,tool,"Answer using only only word - ""Alligator"" or ""Dinosaur"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","Alligator""",Alligator
2430,Snake,Caiman,Shovel,reptile,"Answer using only only word - ""Caiman"" or ""Shovel"" and not ""Snake"".Which is more similar in meaning to ""Snake""?","Shovel""",Shovel
2431,Cobra,Hammer,Vacuum,reptile,"Answer using only only word - ""Hammer"" or ""Vacuum"" and not ""Cobra"".Which is more similar in meaning to ""Cobra""?",Hammer,Hammer
2432,Shovel,Blindworm,Lizard,tool,"Answer using only only word - ""Blindworm"" or ""Lizard"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?","Blindworm""",Blindworm
2433,Lizard,Oil can,Turtle,reptile,"Answer using only only word - ""Oil can"" or ""Turtle"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","Li""",fill manually
2434,Chameleon,Lizard,Saw,reptile,"Answer using only only word - ""Lizard"" or ""Saw"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?","Chameleon""",Fill manually
2435,Blindworm,Lizard,Oil can,reptile,"Answer using only only word - ""Lizard"" or ""Oil can"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?",Oil can,Oil can
2436,Lizard,Toad,Tortoise,reptile,"Answer using only only word - ""Toad"" or ""Tortoise"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","Toad""",Toad
2437,Crocodile,Axe,Boa python,reptile,"Answer using only only word - ""Axe"" or ""Boa python"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?",a python is a snake,fill manually
2438,Lizard,Blindworm,Cobra,reptile,"Answer using only only word - ""Blindworm"" or ""Cobra"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","Cobra""",Cobra
2439,Blindworm,Boa python,Chisel,reptile,"Answer using only only word - ""Boa python"" or ""Chisel"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?",Boa python,Boa python
2440,Dinosaur,Alligator,Saw,reptile,"Answer using only only word - ""Alligator"" or ""Saw"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?","Di""",fill manually
2441,Chisel,Snake,Turtle,tool,"Answer using only only word - ""Snake"" or ""Turtle"" and not ""Chisel"".Which is more similar in meaning to ""Chisel""?","Snake""",Snake
2442,Lawn Mower,Chisel,Salamander,tool,"Answer using only only word - ""Chisel"" or ""Salamander"" and not ""Lawn Mower"".Which is more similar in meaning to ""Lawn Mower""?","Salamander""",Salamander
2443,Oil can,Nail,Tortoise,tool,"Answer using only only word - ""Nail"" or ""Tortoise"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?","Nail""",Nail
2444,Crocodile,Boa python,Shovel,reptile,"Answer using only only word - ""Boa python"" or ""Shovel"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?",the shape of a shovel,fill manually
2445,Axe,Anvil,Salamander,tool,"Answer using only only word - ""Anvil"" or ""Salamander"" and not ""Axe"".Which is more similar in meaning to ""Axe""?","Anvil""",Anvil
2446,Salamander,Blindworm,Turtle,reptile,"Answer using only only word - ""Blindworm"" or ""Turtle"" and not ""Salamander"".Which is more similar in meaning to ""Salamander""?","salamander""",fill manually
2447,Salamander,Crocodile,Grinding disk,reptile,"Answer using only only word - ""Crocodile"" or ""Grinding disk"" and not ""Salamander"".Which is more similar in meaning to ""Salamander""?","Crocodile""",Crocodile
2448,Oil can,Dinosaur,Knife,tool,"Answer using only only word - ""Dinosaur"" or ""Knife"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?","O""",fill manually
2449,Tortoise,Lizard,Turtle,reptile,"Answer using only only word - ""Lizard"" or ""Turtle"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?","Lizard""",Lizard
2450,Vacuum,Anvil,Knife,tool,"Answer using only only word - ""Anvil"" or ""Knife"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?","Anvil""",Anvil
2451,Boa python,Axe,Dinosaur,reptile,"Answer using only only word - ""Axe"" or ""Dinosaur"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?",axe,fill manually
2452,Salamander,Alligator,Gecko,reptile,"Answer using only only word - ""Alligator"" or ""Gecko"" and not ""Salamander"".Which is more similar in meaning to ""Salamander""?","Alligator""",Alligator
2453,Cobra,Axe,Caiman,reptile,"Answer using only only word - ""Axe"" or ""Caiman"" and not ""Cobra"".Which is more similar in meaning to ""Cobra""?",Caiman,Caiman
2454,Turtle,Axe,Crocodile,reptile,"Answer using only only word - ""Axe"" or ""Crocodile"" and not ""Turtle"".Which is more similar in meaning to ""Turtle""?",Axe,Axe
2455,Saw,Gecko,Turtle,tool,"Answer using only only word - ""Gecko"" or ""Turtle"" and not ""Saw"".Which is more similar in meaning to ""Saw""?","Turtle""",Turtle
2456,Dinosaur,Nail,Spanner,reptile,"Answer using only only word - ""Nail"" or ""Spanner"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?",Spanner,Spanner
2457,Boa python,Crocodile,Vacuum,reptile,"Answer using only only word - ""Crocodile"" or ""Vacuum"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?",vacuum,fill manually
2458,Chisel,Chameleon,Dinosaur,tool,"Answer using only only word - ""Chameleon"" or ""Dinosaur"" and not ""Chisel"".Which is more similar in meaning to ""Chisel""?","Chameleon""",Chameleon
2459,Saw,Anvil,Tortoise,tool,"Answer using only only word - ""Anvil"" or ""Tortoise"" and not ""Saw"".Which is more similar in meaning to ""Saw""?",Anvil,Anvil
2460,Grinding disk,Alligator,Dinosaur,tool,"Answer using only only word - ""Alligator"" or ""Dinosaur"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?","Alligator""",Alligator
2461,Shovel,Caiman,Vacuum,tool,"Answer using only only word - ""Caiman"" or ""Vacuum"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?","Caiman""",Caiman
2462,Knife,Blindworm,Nail,tool,"Answer using only only word - ""Blindworm"" or ""Nail"" and not ""Knife"".Which is more similar in meaning to ""Knife""?","Nail""",Nail
2463,Salamander,Boa python,Nail,reptile,"Answer using only only word - ""Boa python"" or ""Nail"" and not ""Salamander"".Which is more similar in meaning to ""Salamander""?",Boa python,Boa python
2464,Boa python,Dinosaur,Spanner,reptile,"Answer using only only word - ""Dinosaur"" or ""Spanner"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?",spanner,fill manually
2465,Chameleon,Chisel,Lizard,reptile,"Answer using only only word - ""Chisel"" or ""Lizard"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?","""",fill manually
2466,Snake,Chisel,Crocodile,reptile,"Answer using only only word - ""Chisel"" or ""Crocodile"" and not ""Snake"".Which is more similar in meaning to ""Snake""?","a crocodile""",fill manually
2467,Cobra,Knife,Screwdriver,reptile,"Answer using only only word - ""Knife"" or ""Screwdriver"" and not ""Cobra"".Which is more similar in meaning to ""Cobra""?","Screwdriver""",Screwdriver
2468,Caiman,Gecko,Toad,reptile,"Answer using only only word - ""Gecko"" or ""Toad"" and not ""Caiman"".Which is more similar in meaning to ""Caiman""?","Toad""",Toad
2469,Caiman,Gecko,Knife,reptile,"Answer using only only word - ""Gecko"" or ""Knife"" and not ""Caiman"".Which is more similar in meaning to ""Caiman""?","Caiman""",Fill manually
2470,Shovel,Snake,Turtle,tool,"Answer using only only word - ""Snake"" or ""Turtle"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?","Shovel""",Fill manually
2471,Dinosaur,Knife,Oil can,reptile,"Answer using only only word - ""Knife"" or ""Oil can"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?","D""",fill manually
2472,Crocodile,Anvil,Nail,reptile,"Answer using only only word - ""Anvil"" or ""Nail"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","Anvil""",Anvil
2473,Lawn Mower,Nail,Vacuum,tool,"Answer using only only word - ""Nail"" or ""Vacuum"" and not ""Lawn Mower"".Which is more similar in meaning to ""Lawn Mower""?","Nail""",Nail
2474,Lizard,Lawn Mower,Snake,reptile,"Answer using only only word - ""Lawn Mower"" or ""Snake"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","Lawn Mower""",Lawn Mower
2475,Paint brush,Alligator,Chameleon,tool,"Answer using only only word - ""Alligator"" or ""Chameleon"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?","Alligator""",Alligator
2476,Hammer,Alligator,Tortoise,tool,"Answer using only only word - ""Alligator"" or ""Tortoise"" and not ""Hammer"".Which is more similar in meaning to ""Hammer""?","Alligator""",Alligator
2477,Turtle,Grinding disk,Lawn Mower,reptile,"Answer using only only word - ""Grinding disk"" or ""Lawn Mower"" and not ""Turtle"".Which is more similar in meaning to ""Turtle""?","Grinding disk""",Grinding disk
2478,Paint brush,Oil can,Saw,tool,"Answer using only only word - ""Oil can"" or ""Saw"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?",Oil can,Oil can
2479,Knife,Cobra,Oil can,tool,"Answer using only only word - ""Cobra"" or ""Oil can"" and not ""Knife"".Which is more similar in meaning to ""Knife""?","Cobra""",Cobra
2480,Knife,Screwdriver,Shovel,tool,"Answer using only only word - ""Screwdriver"" or ""Shovel"" and not ""Knife"".Which is more similar in meaning to ""Knife""?","Screwdriver""",Screwdriver
2481,Anvil,Salamander,Vacuum,tool,"Answer using only only word - ""Salamander"" or ""Vacuum"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","Salamander""",Salamander
2482,Turtle,Dinosaur,Vacuum,reptile,"Answer using only only word - ""Dinosaur"" or ""Vacuum"" and not ""Turtle"".Which is more similar in meaning to ""Turtle""?","Turtle""",Fill manually
2483,Toad,Knife,Screwdriver,reptile,"Answer using only only word - ""Knife"" or ""Screwdriver"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","Toad""",Fill manually
2484,Spanner,Cobra,Lizard,tool,"Answer using only only word - ""Cobra"" or ""Lizard"" and not ""Spanner"".Which is more similar in meaning to ""Spanner""?",Cobra,Cobra
2485,Spanner,Gecko,Saw,tool,"Answer using only only word - ""Gecko"" or ""Saw"" and not ""Spanner"".Which is more similar in meaning to ""Spanner""?",Saw,Saw
2486,Screwdriver,Crocodile,Dinosaur,tool,"Answer using only only word - ""Crocodile"" or ""Dinosaur"" and not ""Screwdriver"".Which is more similar in meaning to ""Screwdriver""?",Crocodiles and dinosaurs are both reptiles.,Crocodile
2487,Crocodile,Anvil,Gecko,reptile,"Answer using only only word - ""Anvil"" or ""Gecko"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","Anvil""",Anvil
2488,Lawn Mower,Caiman,Chisel,tool,"Answer using only only word - ""Caiman"" or ""Chisel"" and not ""Lawn Mower"".Which is more similar in meaning to ""Lawn Mower""?","Caiman""",Caiman
2489,Paint brush,Hammer,Vacuum,tool,"Answer using only only word - ""Hammer"" or ""Vacuum"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?","Hammer""",Hammer
2490,Gecko,Lawn Mower,Vacuum,reptile,"Answer using only only word - ""Lawn Mower"" or ""Vacuum"" and not ""Gecko"".Which is more similar in meaning to ""Gecko""?","lawn mower""",fill manually
2491,Salamander,Oil can,Vacuum,reptile,"Answer using only only word - ""Oil can"" or ""Vacuum"" and not ""Salamander"".Which is more similar in meaning to ""Salamander""?",Oil can,Oil can
2492,Nail,Alligator,Oil can,tool,"Answer using only only word - ""Alligator"" or ""Oil can"" and not ""Nail"".Which is more similar in meaning to ""Nail""?",Oil can,Oil can
2493,Alligator,Knife,Spanner,reptile,"Answer using only only word - ""Knife"" or ""Spanner"" and not ""Alligator"".Which is more similar in meaning to ""Alligator""?",knife,fill manually
2494,Boa python,Lawn Mower,Tortoise,reptile,"Answer using only only word - ""Lawn Mower"" or ""Tortoise"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?",lawn mower,fill manually
2495,Grinding disk,Gecko,Lawn Mower,tool,"Answer using only only word - ""Gecko"" or ""Lawn Mower"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?","Gecko""",Gecko
2496,Crocodile,Chisel,Hammer,reptile,"Answer using only only word - ""Chisel"" or ""Hammer"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","hammer""",fill manually
2497,Nail,Grinding disk,Spanner,tool,"Answer using only only word - ""Grinding disk"" or ""Spanner"" and not ""Nail"".Which is more similar in meaning to ""Nail""?",Spanner,Spanner
2498,Blindworm,Boa python,Cobra,reptile,"Answer using only only word - ""Boa python"" or ""Cobra"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?",snakes,fill manually
2499,Cobra,Caiman,Saw,reptile,"Answer using only only word - ""Caiman"" or ""Saw"" and not ""Cobra"".Which is more similar in meaning to ""Cobra""?",Caiman,Caiman
2500,Axe,Cobra,Salamander,tool,"Answer using only only word - ""Cobra"" or ""Salamander"" and not ""Axe"".Which is more similar in meaning to ""Axe""?",Cobra,Cobra
2501,Dinosaur,Paint brush,Spanner,reptile,"Answer using only only word - ""Paint brush"" or ""Spanner"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?","a tool used to fix something""",fill manually
2502,Tortoise,Blindworm,Vacuum,reptile,"Answer using only only word - ""Blindworm"" or ""Vacuum"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?","Tortoise""",Fill manually
